#node1,node2,node1_string_id,node2_string_id,homology,experimentally_determined_interaction,database_annotated,automated_textmining,combined_score,,
ACACB,RGS1,9606.ENSP00000341044,9606.ENSP00000356429,0,423,0,0,422,,
ACTR2,GPRC5A,9606.ENSP00000367220,9606.ENSP00000014914,0,422,0,0,422,,
ACTR2,DSG2,9606.ENSP00000367220,9606.ENSP00000261590,0,418,0,0,418,,
ACTR2,CYBRD1,9606.ENSP00000367220,9606.ENSP00000319141,0,421,0,0,420,,
ACTR2,MYO6,9606.ENSP00000367220,9606.ENSP00000358994,0,423,0,0,423,,
ACTR2,ARPC4-TTLL3,9606.ENSP00000367220,9606.ENSP00000380427,0,634,360,0,755,,
ACTR2,CFL1,9606.ENSP00000367220,9606.ENSP00000432660,0,443,0,0,443,,
ACVR1C,INHBA,9606.ENSP00000243349,9606.ENSP00000242208,0,46,500,0,502,,
ADH1B,ADH1C,9606.ENSP00000306606,9606.ENSP00000426083,0,484,900,0,946,,
ADM,GNB1,9606.ENSP00000436607,9606.ENSP00000367872,0,800,0,0,800,,
AGR2,YWHAE,9606.ENSP00000391490,9606.ENSP00000264335,0,457,0,0,457,,
AGR2,S100P,9606.ENSP00000391490,9606.ENSP00000296370,0,420,0,0,420,,
AGR2,P4HB,9606.ENSP00000391490,9606.ENSP00000327801,0,457,0,0,457,,
AGR2,MCCC2,9606.ENSP00000391490,9606.ENSP00000343657,0,457,0,0,457,,ABAT
AGR2,TAGLN2,9606.ENSP00000391490,9606.ENSP00000357076,0,457,0,0,457,,ABCA8
AGR2,HSP90AB1,9606.ENSP00000391490,9606.ENSP00000360609,0,457,0,0,457,,ABHD17C
AGR2,PGK1,9606.ENSP00000391490,9606.ENSP00000362413,0,457,0,0,457,,ABHD2
AGR2,AKR1C3,9606.ENSP00000391490,9606.ENSP00000369927,0,420,0,0,420,,ACACB
AGR2,AKR1C1,9606.ENSP00000391490,9606.ENSP00000370254,0,420,0,0,420,,ACACB
AGR2,YWHAZ,9606.ENSP00000391490,9606.ENSP00000379287,0,457,0,0,457,,ACACB
AGR2,RAB1A,9606.ENSP00000391490,9606.ENSP00000387286,0,457,0,0,457,,ACLY
AGR2,ENO1,9606.ENSP00000391490,9606.ENSP00000495530,0,457,0,0,457,,ACSM5
AGTRAP,ESRP1,9606.ENSP00000319713,9606.ENSP00000405738,0,0,500,0,499,,ACTR2
AKR1C1,AKR1C3,9606.ENSP00000370254,9606.ENSP00000369927,0,711,0,0,711,,ACVR1C
ALYREF,FYTTD1,9606.ENSP00000421592,9606.ENSP00000241502,0,292,400,0,557,,ACVR1C
ALYREF,SRSF1,9606.ENSP00000421592,9606.ENSP00000258962,0,616,0,0,616,,ADAM12
ALYREF,PRPF4B,9606.ENSP00000421592,9606.ENSP00000337194,0,193,800,0,831,,ADAM12
ALYREF,DDX3X,9606.ENSP00000421592,9606.ENSP00000494040,0,631,0,0,631,,ADAMTS5
ANGPTL4,ITGB1,9606.ENSP00000301455,9606.ENSP00000379350,0,405,0,0,404,,ADAMTS5
AOC3,MAOA,9606.ENSP00000312326,9606.ENSP00000340684,0,0,900,0,900,,ADAMTS5
AP2B1,M6PR,9606.ENSP00000483185,9606.ENSP00000000412,0,0,500,0,499,,ADAMTS9-AS2
AP2B1,CD74,9606.ENSP00000483185,9606.ENSP00000009530,0,0,500,0,499,,ADH1B
AP2B1,MAPK1,9606.ENSP00000483185,9606.ENSP00000215832,0,0,500,0,499,,ADH1B
AP2B1,SCARB2,9606.ENSP00000483185,9606.ENSP00000264896,0,0,500,0,499,,ADH1B
AP2B1,SH3GL3,9606.ENSP00000483185,9606.ENSP00000320092,0,0,500,0,499,,ADH1C
AP2B1,HIP1,9606.ENSP00000483185,9606.ENSP00000336747,0,129,800,0,818,,ADIPOQ
AP2B1,MYO6,9606.ENSP00000483185,9606.ENSP00000358994,0,457,0,0,457,,ADM
AP2B1,PICALM,9606.ENSP00000483185,9606.ENSP00000377015,0,529,720,0,862,,AGR2
AP2B1,NCALD,9606.ENSP00000483185,9606.ENSP00000379256,0,0,900,0,900,,AGR3
AP2B1,TF,9606.ENSP00000483185,9606.ENSP00000385834,0,0,500,0,499,,AGTRAP
AP2B1,TFAP2A,9606.ENSP00000483185,9606.ENSP00000501092,0,457,0,0,457,,AIDA
APPL1,RAB5A,9606.ENSP00000288266,9606.ENSP00000273047,0,549,0,0,549,,AIF1L
APPL1,TRAPPC11,9606.ENSP00000288266,9606.ENSP00000335371,0,420,0,0,420,,AKIRIN1
APPL1,APPL2,9606.ENSP00000288266,9606.ENSP00000446917,0,962,0,0,962,,AKR1C1
APPL2,RAB5A,9606.ENSP00000446917,9606.ENSP00000273047,0,457,0,0,457,,AKR1C1
AR,FKBP4,9606.ENSP00000363822,9606.ENSP00000001008,0,329,800,0,860,,AKR1C3
AR,RANBP9,9606.ENSP00000363822,9606.ENSP00000011619,0,457,0,0,457,,ALDH18A1
AR,FOXA1,9606.ENSP00000363822,9606.ENSP00000250448,0,457,0,0,457,,ALDOC
AR,H2BC5,9606.ENSP00000363822,9606.ENSP00000289316,0,0,500,0,499,,ALG13
AR,PRKDC,9606.ENSP00000363822,9606.ENSP00000313420,0,457,0,0,457,,ALOX5AP
AR,SIAH2,9606.ENSP00000363822,9606.ENSP00000322457,0,457,0,0,457,,ALYREF
AR,PGR,9606.ENSP00000363822,9606.ENSP00000325120,0,0,500,0,499,,ANAPC5
AR,H2BC21,9606.ENSP00000363822,9606.ENSP00000358151,0,0,500,0,499,,ANGPTL4
AR,RUNX2,9606.ENSP00000363822,9606.ENSP00000360493,0,0,700,0,700,,ANKRD20A12P///ANKRD20A8P///ANKRD20A4///ANKRD20A2///ANKRD20A3///ANKRD20A5P///ANKRD20A1
AR,HSP90AB1,9606.ENSP00000363822,9606.ENSP00000360609,0,462,800,0,887,,ANKRD20A4///ANKRD20A2///ANKRD20A3///ANKRD20A1
AR,H2BC9,9606.ENSP00000363822,9606.ENSP00000479169,0,0,500,0,499,,ANKRD30A
AR,H2BS1,9606.ENSP00000363822,9606.ENSP00000481622,0,0,500,0,499,,ANKRD35
ARF4,TMED2,9606.ENSP00000306010,9606.ENSP00000262225,0,0,500,0,499,,ANP32E
ARF4,KDELR1,9606.ENSP00000306010,9606.ENSP00000329471,0,0,500,0,499,,ANXA9
ARF4,KDELR3,9606.ENSP00000306010,9606.ENSP00000386918,0,0,500,0,499,,ANXA9
ARF4,RAB1A,9606.ENSP00000306010,9606.ENSP00000387286,0,0,500,0,499,,AOC3
ARFGEF1,PRKAR1A,9606.ENSP00000262215,9606.ENSP00000376475,0,457,0,0,457,,AP2B1
ARFGEF1,ARFGEF2,9606.ENSP00000262215,9606.ENSP00000360985,0,589,0,0,589,,APPL1
ARFGEF2,CCT2,9606.ENSP00000360985,9606.ENSP00000299300,0,0,500,0,499,,APPL2
ARFGEF2,PRKAR1A,9606.ENSP00000360985,9606.ENSP00000376475,0,457,0,0,457,,AR
ARHGAP32,RHOA,9606.ENSP00000310561,9606.ENSP00000400175,0,457,0,0,457,,ARF4
ARHGDIB,RHOH,9606.ENSP00000228945,9606.ENSP00000371219,0,415,500,0,695,,ARFGEF1
ARHGDIB,RHOA,9606.ENSP00000228945,9606.ENSP00000400175,0,400,700,0,812,,ARFGEF1
ARIH1,UBE2N,9606.ENSP00000369217,9606.ENSP00000316176,0,457,0,0,457,,ARFGEF2
ASCC1,MSH6,9606.ENSP00000339404,9606.ENSP00000234420,0,0,540,0,540,,ARHGAP32
ASCC1,PRKDC,9606.ENSP00000339404,9606.ENSP00000313420,0,0,540,0,540,,ARHGDIB
ASPN,TGFB1,9606.ENSP00000364694,9606.ENSP00000221930,0,0,500,0,499,,ARIH1
ATAD2,ESR1,9606.ENSP00000287394,9606.ENSP00000405330,0,318,900,0,928,,ARPC4-TTLL3///ARPC4
ATG5,TRIM4,9606.ENSP00000358072,9606.ENSP00000348216,0,0,500,0,499,,ASAH1
ATP1A2,ATP6V1A,9606.ENSP00000354490,9606.ENSP00000273398,0,422,0,0,422,,ASCC1
ATP1A2,FXYD1,9606.ENSP00000354490,9606.ENSP00000481244,0,0,900,0,900,,ASPN
ATP6AP2,ATP6V1A,9606.ENSP00000490083,9606.ENSP00000273398,0,944,720,0,983,,ASPN
ATP6AP2,ATP6V1C1,9606.ENSP00000490083,9606.ENSP00000430282,0,947,720,0,984,,ATAD2
ATP6V1A,ATP6V1C1,9606.ENSP00000273398,9606.ENSP00000430282,0,949,720,0,985,,ATG5
ATP8B1,TMEM30A,9606.ENSP00000497896,9606.ENSP00000230461,0,960,900,0,995,,ATP1A2
BCL11A,UBXN4,9606.ENSP00000496168,9606.ENSP00000272638,0,591,0,0,591,,ATP6AP2
BCL11A,EML4,9606.ENSP00000496168,9606.ENSP00000320663,0,0,400,0,400,,ATP6V1A
BCL11A,HIP1,9606.ENSP00000496168,9606.ENSP00000336747,0,0,400,0,400,,ATP6V1C1
BCL11A,FN1,9606.ENSP00000496168,9606.ENSP00000346839,0,0,400,0,400,,ATP7B
BCL11A,PRKAR1A,9606.ENSP00000496168,9606.ENSP00000376475,0,0,400,0,400,,ATP8B1
BCL11A,TPM4,9606.ENSP00000496168,9606.ENSP00000494125,0,0,500,0,499,,B3GNT2
