Gene Symbol,log2FC,p-value,oncogene_score
C4orf33,2.59311,2.02672e-06,
FSIP1,5.8238,0.00112853,0.100876
LINC00408,-5.00015,8.96845e-08,
ADAMTS9-AS2,-2.95462,1.77048e-05,0.02325
LRRN4CL,-3.52519,5.90245e-06,0.0183756
FLJ38379,5.72575,0.00169177,
LOC101927870,-2.56498,0.000562118,
LINC01087,3.87186,0.00543642,0.0880941
ANKRD20A5P,-3.88145,0.00100659,
LOC441666,-5.92297,2.70808e-05,
PIGX,3.65264,2.04959e-05,0.0660362
ACVR1C,-3.95983,0.00230449,0.0430467
FCRL2,-2.55665,1.24319e-06,0.0134585
DEFB124,-2.71426,0.000763535,0.00407452
AP2B1,2.76719,6.54473e-07,0.0345544
M6PR,3.5812,1.14047e-08,0.030708
KDELR1,3.24774,1.15882e-07,
YWHAH,2.67127,1.56777e-08,0.0286014
RAB5C,2.60538,6.8987e-07,0.0255186
BHLHE40,2.9838,1.00545e-06,0.188598
SDC1,2.51311,1.29962e-05,0.120103
HNRNPF,2.62783,2.59308e-12,0.100983
DHX15,2.42666,1.48417e-11,0.0784239
PLEKHB2,2.40843,3.34811e-07,
ATP6AP2,3.09961,1.65908e-08,0.102959
CNN3,3.105,6.47291e-06,0.0206969
PPIF,3.91144,0.000410272,0.0848359
PNP,3.96198,0.000338395,0.0158742
KRT5,-3.30336,3.76664e-10,0.128437
NET1,3.05288,5.60915e-06,0.10266
PRKAB1,2.66181,4.80856e-05,0.115338
CPD,3.05559,0.000369846,0.28894
ALDOC,-3.44735,0.000156819,0.0818527
SFRP1,-3.22642,1.36778e-09,0.125747
SLC39A6,4.11479,0.000646587,0.113975
VWF,-2.60649,4.17216e-13,0.102132
AREL1,2.49365,1.39086e-06,
ZMYND11,2.87027,8.98107e-08,0.0316728
COPS8,3.40721,8.42671e-12,0.00955528
LOC100506558,-3.45351,2.51173e-14,
SPOCK1,2.62878,0.000522154,0.100643
TYMS,2.43378,0.000435342,0.62766
NRIP1,3.18339,1.7814e-05,0.479621
HIST2H2BE,4.39544,0.0085969,
UBE2S,2.52398,4.25835e-06,0.0812579
ADM,-3.4569,0.00017369,0.0797743
UBE2C,3.04956,0.00213109,0.122702
DYRK2,2.59348,4.63866e-07,0.104816
ARNT2,3.25536,0.00217247,0.0259949
SLPI,-3.04063,1.66149e-11,0.0974702
TGFB1,2.77534,2.77643e-07,0.143847
KIF2A,2.6488,1.05495e-09,0.0979494
UBE2M,2.53363,2.28952e-07,0.0896684
ATP1A2,-5.55532,0.00055357,0.106868
BAMBI,2.66201,0.00426525,0.0162788
CAPN7,3.00689,1.09787e-08,
EZH2,2.636,5.78033e-05,0.548597
MFAP2,4.44998,3.06548e-07,0.0930261
MME,-3.86669,2.02072e-08,0.148877
LPL,-5.54602,3.22399e-05,0.05267
LOXL1,3.10499,4.43255e-06,0.0965481
LMOD1,-2.92459,4.37367e-15,0.0342546
IGFBP6,-2.95236,9.86922e-09,0.112222
MMP11,6.53008,0.000771506,0.124727
DMD,-3.10522,1.05412e-12,0.0910191
CNN1,-2.54024,3.54764e-09,0.104384
FAM47E,-2.97288,0.000202748,0.00795778
FUT8,2.34456,2.73691e-06,0.106842
ZWINT,3.33437,0.000417514,0.113308
ME1,-2.77458,0.000345776,0.0993735
P2RX4,2.60104,1.11781e-07,0.0396075
