mRNA,miR
UBE2W,MIMAT0000103
LRRC28,MIMAT0000103
E4F1,MIMAT0000103
MYLIP,MIMAT0000103
MEX3B,MIMAT0000103
KDM1B,MIMAT0000103
NTRK2,MIMAT0000103
CCDC83,MIMAT0000103
PTCD2,MIMAT0000103
MKLN1,MIMAT0000103
AGPS,MIMAT0000103
RICTOR,MIMAT0000103
BRWD3,MIMAT0000103
LIMS1,MIMAT0000103
GALNT7,MIMAT0000103
GTDC1,MIMAT0000103
ARL8B,MIMAT0000103
ILDR1,MIMAT0000103
SCARB2,MIMAT0000103
SEC14L1,MIMAT0000103
COPS7B,MIMAT0000103
CISD1,MIMAT0000103
ZNF490,MIMAT0000103
CEP97,MIMAT0000103
SH3TC2,MIMAT0000103
C1QTNF3,MIMAT0000103
ADAMTS12,MIMAT0000103
SLC6A15,MIMAT0000103
B4GALNT2,MIMAT0000103
FAM104B,MIMAT0000103
SMAD7,MIMAT0000103
ENTPD4,MIMAT0000103
ARPC5,MIMAT0000103
RORB,MIMAT0000103
CHRM5,MIMAT0000103
HAAO,MIMAT0000103
CNR2,MIMAT0000103
ITGA2,MIMAT0000103
REL,MIMAT0000103
F2RL3,MIMAT0000103
OSGIN2,MIMAT0000103
PIAS2,MIMAT0000103
COX7A2L,MIMAT0000103
ACSL3,MIMAT0000103
WIPF2,MIMAT0000103
KIF15,MIMAT0000103
GCNT1,MIMAT0000103
HMGCS1,MIMAT0000103
BET1L,MIMAT0000103
CTNNA3,MIMAT0000103
PAX7,MIMAT0000103
MCHR2,MIMAT0000103
MAPK9,MIMAT0000103
SLC35F3,MIMAT0000103
SLC29A2,MIMAT0000103
HERC3,MIMAT0000103
RPS15A,MIMAT0000103
STIP1,MIMAT0000103
LDOC1,MIMAT0000103
ZNRF2,MIMAT0000103
CDYL2,MIMAT0000103
CNKSR3,MIMAT0000103
APP,MIMAT0000103
NNMT,MIMAT0000103
PCF11,MIMAT0000103
TMEM45A,MIMAT0000103
SRP68,MIMAT0000103
ZNF304,MIMAT0000103
SCN3B,MIMAT0000103
SLC24A2,MIMAT0000103
CAMK1G,MIMAT0000103
APOLD1,MIMAT0000103
IVD,MIMAT0000103
GBA,MIMAT0000103
EIF3M,MIMAT0000103
GPSM2,MIMAT0000103
SPARC,MIMAT0000103
MPPED1,MIMAT0000103
STX16,MIMAT0000103
BAG5,MIMAT0000103
PAQR3,MIMAT0000103
CDC37L1,MIMAT0000103
VIL1,MIMAT0000103
GRIP2,MIMAT0000103
RAB21,MIMAT0000103
TMC7,MIMAT0000103
KRBA2,MIMAT0000103
LTB4R,MIMAT0000103
CREB5,MIMAT0000103
TBC1D2B,MIMAT0000103
DNAJC10,MIMAT0000103
RGMA,MIMAT0000103
RASGRF2,MIMAT0000103
RAB3B,MIMAT0000103
CCDC149,MIMAT0000103
SPTBN4,MIMAT0000103
KIAA0319L,MIMAT0000103
DTNA,MIMAT0000103
ANO6,MIMAT0000103
WDR55,MIMAT0000103
BCAS3,MIMAT0000103
ST8SIA2,MIMAT0000103
BNIP3L,MIMAT0000103
CAP1,MIMAT0000103
ATP7B,MIMAT0000103
CC2D1B,MIMAT0000103
TCF4,MIMAT0000103
ZNF7,MIMAT0000103
CAST,MIMAT0000103
SIRPB1,MIMAT0000103
NSUN7,MIMAT0000103
NTNG1,MIMAT0000103
PPP1R12B,MIMAT0000103
TMCC2,MIMAT0000103
