mRNA,miR
NPTN,MIMAT0000416
SOX5,MIMAT0000416
WEE1,MIMAT0000416
ANKRD29,MIMAT0000416
POGK,MIMAT0000416
SLC25A22,MIMAT0000416
NETO2,MIMAT0000416
RASA1,MIMAT0000416
UTRN,MIMAT0000416
E2F5,MIMAT0000416
TNS4,MIMAT0000416
FOXP1,MIMAT0000098
RNF144B,MIMAT0000098
RAP1B,MIMAT0000098
TSC22D1,MIMAT0000098
VPS45,MIMAT0000098
IFIT3,MIMAT0000098
GFOD1,MIMAT0000098
PLK1,MIMAT0000098
FLT1,MIMAT0000098
ABLIM1,MIMAT0000098
PTPN9,MIMAT0000098
ACSL3,MIMAT0000098
MAP4,MIMAT0000098
CREB5,MIMAT0005824
SETD1B,MIMAT0005824
RORA,MIMAT0005824
GRIN2B,MIMAT0005824
ATXN1,MIMAT0005899
TCF20,MIMAT0005899
EFHD2,MIMAT0005899
LGALS8,MIMAT0000446
XRCC3,MIMAT0000446
DAGLA,MIMAT0000446
BCL6,MIMAT0000446
BAG5,MIMAT0000446
RAB5C,MIMAT0000427
ZBTB37,MIMAT0000427
TPM3,MIMAT0000427
ZNF704,MIMAT0000427
CACNA1C,MIMAT0000427
ANXA2,MIMAT0000427
BCL2L1,MIMAT0000427
POU2F2,MIMAT0000427
RNF168,MIMAT0000427
SGMS2,MIMAT0000427
SNX33,MIMAT0000427
MLEC,MIMAT0000427
RBPJ,MIMAT0000427
FAM120C,MIMAT0000427
SENP1,MIMAT0000427
PLEKHA3,MIMAT0000427
MMP14,MIMAT0000427
CCNI,MIMAT0000427
SUPT16H,MIMAT0000427
KPNA6,MIMAT0000427
CDC42,MIMAT0000427
NGFR,MIMAT0000427
SP1,MIMAT0000427
TAGLN2,MIMAT0000427
ERG,MIMAT0000427
FOSL2,MIMAT0000427
CASP9,MIMAT0000427
NFAM1,MIMAT0000427
IGF1R,MIMAT0000427
CNN2,MIMAT0000427
MC2R,MIMAT0000427
PDLIM5,MIMAT0000427
SNX30,MIMAT0000427
TRIM71,MIMAT0000427
ISCU,MIMAT0000447
PUM2,MIMAT0000447
IL6ST,MIMAT0000447
ERGIC1,MIMAT0000447
DCP2,MIMAT0000447
POTED,MIMAT0000447
SSX5,MIMAT0000447
RAB27A,MIMAT0000447
IL17REL,MIMAT0000447
GABRB2,MIMAT0000447
ZDHHC9,MIMAT0000447
SURF4,MIMAT0000447
OPRM1,MIMAT0000447
KCTD5,MIMAT0000447
FOXM1,MIMAT0000447
SOX17,MIMAT0000447
HIVEP3,MIMAT0000447
MED28,MIMAT0000447
FIBCD1,MIMAT0000447
GNL1,MIMAT0000447
PLAGL2,MIMAT0000447
COX8A,MIMAT0000447
EIF4EBP2,MIMAT0000447
RCAN1,MIMAT0000447
ZNF621,MIMAT0000447
TP53INP1,MIMAT0000447
ATXN7L3B,MIMAT0000447
MAPKAPK5,MIMAT0000447
ZNF440,MIMAT0000447
ADAT1,MIMAT0000447
TPM3,MIMAT0004607
ERGIC1,MIMAT0004607
ATP6V1A,MIMAT0004607
CSNK2A1,MIMAT0004607
PEX5L,MIMAT0004607
SLC46A1,MIMAT0004607
CYBRD1,MIMAT0004607
GNA13,MIMAT0004607
PAG1,MIMAT0004607
MECP2,MIMAT0004607
IGFBP4,MIMAT0004607
YY1,MIMAT0004607
RSBN1,MIMAT0004607
EIF4EBP1,MIMAT0000430
RHOC,MIMAT0000430
DMKN,MIMAT0000430
DNAJB6,MIMAT0000430
NFKB1,MIMAT0000430
LNPEP,MIMAT0000430
TERT,MIMAT0000430
ZMYND11,MIMAT0000430
EID1,MIMAT0000430
YAP1,MIMAT0000430
MXD1,MIMAT0000430
MEAF6,MIMAT0000430
IGF2BP1,MIMAT0000430
BLCAP,MIMAT0000430
CELF1,MIMAT0000430
S100A1,MIMAT0000430
FOXC1,MIMAT0000430
CDH2,MIMAT0000430
RPA1,MIMAT0000430
IGLON5,MIMAT0000430
CCND1,MIMAT0000430
BCL11A,MIMAT0000430
ZNF426,MIMAT0000430
PHKG2,MIMAT0000430
VWA1,MIMAT0004552
ZBTB7A,MIMAT0004552
PXN,MIMAT0004552
GFRA1,MIMAT0004552
SYT7,MIMAT0004552
KANK2,MIMAT0004552
PKIA,MIMAT0004552
THY1,MIMAT0004552
UCP2,MIMAT0004552
BCAR1,MIMAT0004552
PNPO,MIMAT0004552
ORAI2,MIMAT0004552
CHEK1,MIMAT0004552
AKT1S1,MIMAT0004552
PAX5,MIMAT0004552
SORBS2,MIMAT0004552
CDC37,MIMAT0004552
HLA-A,MIMAT0004552
YY1,MIMAT0004552
B2M,MIMAT0004552
ZSWIM7,MIMAT0004552
KRT80,MIMAT0004552
ZNF570,MIMAT0004552
ZNF585B,MIMAT0004552
ZMIZ2,MIMAT0004552
