id,foldChange,type
MIMAT0000072,-1.29268,miR
MIMAT0000076,1.61046,miR
MIMAT0000103,-1.12517,miR
MIMAT0000232,-1.02937,miR
MIMAT0000255,1.98807,miR
MIMAT0000256,1.10683,miR
MIMAT0000257,1.25476,miR
MIMAT0000265,-1.31874,miR
MIMAT0000278,3.10032,miR
MIMAT0000279,2.93454,miR
MIMAT0000430,-1.45216,miR
MIMAT0000433,-1.15498,miR
MIMAT0000434,-1.16771,miR
MIMAT0000436,-2.25238,miR
MIMAT0000441,-1.73045,miR
MIMAT0000451,-1.59476,miR
MIMAT0000461,-1.23037,miR
MIMAT0000710,-1.01294,miR
MIMAT0000728,2.60607,miR
MIMAT0000753,-1.00757,miR
MIMAT0001631,-2.48369,miR
MIMAT0002177,-2.51089,miR
MIMAT0002809,5.40029,miR
MIMAT0002819,-1.26414,miR
MIMAT0002874,1.30886,miR
MIMAT0003322,-1.36682,miR
MIMAT0004552,-1.04435,miR
MIMAT0004563,-1.02884,miR
MIMAT0004766,5.68014,miR
MIMAT0004926,-1.16725,miR
MIMAT0015378,1.19777,miR
MIMAT0004501,-1.44679,miR
MIMAT0004518,-1.00062,miR
MIMAT0004558,1.32168,miR
MIMAT0004569,1.32853,miR
MIMAT0004600,-2.54888,miR
MYLIP,-0.19525,mRNA
LRRC28,-0.0874351,mRNA
CEP97,-0.444726,mRNA
E4F1,0.248119,mRNA
ENTPD4,-0.1503,mRNA
ITGA2,2.96583,mRNA
MEX3B,0.274469,mRNA
F2RL3,0.43319,mRNA
KDM1B,-0.824455,mRNA
WIPF2,-0.156525,mRNA
MAPK9,-0.00923707,mRNA
CCDC83,0.575356,mRNA
CNKSR3,-0.583253,mRNA
PTCD2,-0.429719,mRNA
APP,-0.261148,mRNA
EIF3M,-0.0688323,mRNA
AGPS,-0.184343,mRNA
DNAJC10,-0.237657,mRNA
RICTOR,-0.501257,mRNA
ZNF7,0.00822973,mRNA
BRWD3,-0.5904,mRNA
WDR53,-0.129308,mRNA
KIF6,-1.4923,mRNA
GALNT7,2.23241,mRNA
CUL4A,-0.0832856,mRNA
MFSD8,-0.220248,mRNA
ARL8B,0.179752,mRNA
RGMB,0.0766782,mRNA
ILDR1,0.133128,mRNA
PRKAR1A,0.188037,mRNA
ZC3H12C,-0.911951,mRNA
SEC14L1,0.284562,mRNA
SOCS7,-0.874304,mRNA
COPS7B,0.250997,mRNA
PDPK1,-0.359295,mRNA
CISD1,-0.265687,mRNA
WAC,-0.383957,mRNA
ZNF490,-0.0721207,mRNA
WEE1,-0.293834,mRNA
ZNF665,-0.215236,mRNA
SH3TC2,1.2124,mRNA
TBL1XR1,-0.148675,mRNA
C1QTNF3,-0.365603,mRNA
GPRIN3,-0.59804,mRNA
ADAMTS12,1.02885,mRNA
MTMR3,-0.200886,mRNA
SLC6A15,-4.23879,mRNA
CADM2,-1.19768,mRNA
