id,logFC,type
MIMAT0000076,1.4834,miR
MIMAT0000089,1.49095,miR
MIMAT0000098,-1.14731,miR
MIMAT0000231,-1.10437,miR
MIMAT0000232,-1.43493,miR
MIMAT0000250,-1.03612,miR
MIMAT0000252,-2.56718,miR
MIMAT0000255,1.91218,miR
MIMAT0000256,1.02792,miR
MIMAT0000257,1.20429,miR
MIMAT0000262,1.44197,miR
MIMAT0000263,-2.52597,miR
MIMAT0000265,-2.92486,miR
MIMAT0000271,-1.42539,miR
MIMAT0000278,2.87209,miR
MIMAT0000279,2.66827,miR
MIMAT0000280,-1.03711,miR
MIMAT0000416,-1.08442,miR
MIMAT0000427,-1.08535,miR
MIMAT0000430,-1.74416,miR
MIMAT0000433,-1.01654,miR
MIMAT0000436,-2.23477,miR
MIMAT0000438,-1.23159,miR
MIMAT0000441,-2.30199,miR
MIMAT0000446,-1.28424,miR
MIMAT0000447,-1.20756,miR
MIMAT0000451,-1.38297,miR
MIMAT0000458,-1.20275,miR
MIMAT0000461,-1.41384,miR
MIMAT0000462,-1.00979,miR
MIMAT0000707,-1.6235,miR
MIMAT0000710,-1.04257,miR
MIMAT0000728,2.38298,miR
MIMAT0000733,-1.70044,miR
MIMAT0000736,-1.18017,miR
MIMAT0000754,-1.26771,miR
MIMAT0000772,-1.09871,miR
MIMAT0001413,-1.42071,miR
MIMAT0001631,-2.64329,miR
MIMAT0002177,-2.68959,miR
MIMAT0002809,4.77846,miR
MIMAT0002819,-1.19093,miR
MIMAT0002820,-1.00785,miR
MIMAT0002880,1.09394,miR
MIMAT0002881,1.08029,miR
MIMAT0002883,1.06569,miR
MIMAT0003150,-1.09896,miR
MIMAT0003233,3.11424,miR
MIMAT0003242,-1.17532,miR
MIMAT0003322,-1.42782,miR
MIMAT0004552,-1.21783,miR
MIMAT0004563,-1.43438,miR
MIMAT0004766,4.9077,miR
MIMAT0004814,-1.03302,miR
MIMAT0004926,-1.36149,miR
MIMAT0004953,-1.31221,miR
MIMAT0004985,-1.04826,miR
MIMAT0005824,-2.23051,miR
MIMAT0005899,-1.58159,miR
MIMAT0018115,-1.15062,miR
MIMAT0004501,-1.40305,miR
MIMAT0004504,1.61385,miR
MIMAT0004554,-2.05563,miR
MIMAT0004558,1.22369,miR
MIMAT0004564,-1.05482,miR
MIMAT0004568,1.99246,miR
MIMAT0004569,1.22141,miR
MIMAT0004600,-2.63332,miR
MIMAT0004607,-1.62838,miR
MIMAT0004927,-1.09937,miR
MIMAT0006790,-1.57319,miR
NPTN,-0.0814542,mRNA
SOX5,-2.20017,mRNA
WEE1,-0.265821,mRNA
ANKRD29,-1.3787,mRNA
POGK,0.102231,mRNA
SLC25A22,0.330753,mRNA
NETO2,-1.01902,mRNA
RASA1,0.735038,mRNA
UTRN,-0.200603,mRNA
E2F5,-0.237721,mRNA
TNS4,-1.22845,mRNA
FOXP1,-0.123937,mRNA
RNF144B,-0.275638,mRNA
RAP1B,0.0542712,mRNA
TSC22D1,1.4147,mRNA
VPS45,-0.0559066,mRNA
IFIT3,0.7104,mRNA
GFOD1,-0.151212,mRNA
PLK1,0.244728,mRNA
FLT1,0.188106,mRNA
ABLIM1,-0.778041,mRNA
PTPN9,-0.399857,mRNA
ACSL3,-0.0435416,mRNA
MAP4,0.457749,mRNA
CREB5,1.06812,mRNA
SETD1B,-0.235105,mRNA
RORA,-0.500954,mRNA
GRIN2B,-0.0181727,mRNA
ATXN1,-0.304866,mRNA
TCF20,-0.192239,mRNA
EFHD2,1.06069,mRNA
LGALS8,0.182102,mRNA
XRCC3,0.0126024,mRNA
DAGLA,0.837141,mRNA
BCL6,-0.532614,mRNA
BAG5,0.0572771,mRNA
RAB5C,-0.0151857,mRNA
ZBTB37,-0.916083,mRNA
TPM3,0.297344,mRNA
ZNF704,-0.732091,mRNA
CACNA1C,0.820805,mRNA
ANXA2,0.633188,mRNA
BCL2L1,0.998125,mRNA
POU2F2,-0.400839,mRNA
RNF168,-0.664003,mRNA
SGMS2,-0.00735498,mRNA
SNX33,0.435007,mRNA
MLEC,-0.564871,mRNA
RBPJ,-0.0979132,mRNA
FAM120C,0.128443,mRNA
SENP1,-0.0370546,mRNA
PLEKHA3,0.138481,mRNA
MMP14,0.759634,mRNA
CCNI,-0.206732,mRNA
SUPT16H,-0.150903,mRNA
KPNA6,0.152607,mRNA
CDC42,0.0454554,mRNA
NGFR,1.01727,mRNA
SP1,-0.0450747,mRNA
TAGLN2,0.574104,mRNA
ERG,-0.185634,mRNA
FOSL2,-0.316473,mRNA
CASP9,-0.214124,mRNA
