Source1,Source2,Shared_Targets_Count
MIMAT0000103,MIMAT0000430,467
MIMAT0000103,MIMAT0004552,420
MIMAT0000103,MIMAT0000434,181
MIMAT0000103,MIMAT0000433,27
MIMAT0000103,MIMAT0000436,26
MIMAT0000103,MIMAT0004600,44
MIMAT0000103,MIMAT0004766,480
MIMAT0000103,MIMAT0002809,204
MIMAT0000103,MIMAT0000451,407
MIMAT0000103,MIMAT0004518,111
MIMAT0000103,MIMAT0004558,214
MIMAT0000103,MIMAT0000256,138
MIMAT0000103,MIMAT0000257,302
MIMAT0000103,MIMAT0000072,452
MIMAT0000103,MIMAT0002819,360
MIMAT0000103,MIMAT0000461,241
MIMAT0000103,MIMAT0000232,253
MIMAT0000103,MIMAT0004563,253
MIMAT0000103,MIMAT0000265,488
MIMAT0000103,MIMAT0000076,112
MIMAT0000103,MIMAT0000278,386
MIMAT0000103,MIMAT0000279,429
MIMAT0000103,MIMAT0004569,377
MIMAT0000103,MIMAT0004501,603
MIMAT0000103,MIMAT0015378,337
MIMAT0000103,MIMAT0000753,175
MIMAT0000103,MIMAT0000255,533
MIMAT0000103,MIMAT0000710,122
MIMAT0000103,MIMAT0000728,174
MIMAT0000103,MIMAT0001631,83
MIMAT0000103,MIMAT0002177,434
MIMAT0000103,MIMAT0002874,418
MIMAT0000103,MIMAT0003322,393
MIMAT0000103,MIMAT0004926,317
MIMAT0000103,MIMAT0000441,159
MIMAT0000430,MIMAT0004552,618
MIMAT0000430,MIMAT0000434,219
MIMAT0000430,MIMAT0000433,31
MIMAT0000430,MIMAT0000436,36
MIMAT0000430,MIMAT0004600,57
MIMAT0000430,MIMAT0004766,683
MIMAT0000430,MIMAT0002809,251
MIMAT0000430,MIMAT0000451,529
MIMAT0000430,MIMAT0004518,133
MIMAT0000430,MIMAT0004558,258
MIMAT0000430,MIMAT0000256,198
MIMAT0000430,MIMAT0000257,382
MIMAT0000430,MIMAT0000072,521
MIMAT0000430,MIMAT0002819,525
MIMAT0000430,MIMAT0000461,313
MIMAT0000430,MIMAT0000232,345
MIMAT0000430,MIMAT0004563,345
MIMAT0000430,MIMAT0000265,643
MIMAT0000430,MIMAT0000076,137
MIMAT0000430,MIMAT0000278,558
MIMAT0000430,MIMAT0000279,635
MIMAT0000430,MIMAT0004569,485
MIMAT0000430,MIMAT0004501,848
MIMAT0000430,MIMAT0015378,417
MIMAT0000430,MIMAT0000753,211
MIMAT0000430,MIMAT0000255,732
MIMAT0000430,MIMAT0000710,153
MIMAT0000430,MIMAT0000728,229
MIMAT0000430,MIMAT0001631,108
MIMAT0000430,MIMAT0002177,603
MIMAT0000430,MIMAT0002874,576
MIMAT0000430,MIMAT0003322,533
MIMAT0000430,MIMAT0004926,416
MIMAT0000430,MIMAT0000441,262
MIMAT0004552,MIMAT0000434,199
MIMAT0004552,MIMAT0000433,21
MIMAT0004552,MIMAT0000436,24
MIMAT0004552,MIMAT0004600,45
MIMAT0004552,MIMAT0004766,649
MIMAT0004552,MIMAT0002809,226
MIMAT0004552,MIMAT0000451,511
MIMAT0004552,MIMAT0004518,123
MIMAT0004552,MIMAT0004558,250
MIMAT0004552,MIMAT0000256,169
MIMAT0004552,MIMAT0000257,378
MIMAT0004552,MIMAT0000072,471
MIMAT0004552,MIMAT0002819,517
MIMAT0004552,MIMAT0000461,272
MIMAT0004552,MIMAT0000232,306
MIMAT0004552,MIMAT0004563,306
MIMAT0004552,MIMAT0000265,612
MIMAT0004552,MIMAT0000076,93
MIMAT0004552,MIMAT0000278,489
MIMAT0004552,MIMAT0000279,580
MIMAT0004552,MIMAT0004569,436
MIMAT0004552,MIMAT0004501,780
MIMAT0004552,MIMAT0015378,382
MIMAT0004552,MIMAT0000753,190
MIMAT0004552,MIMAT0000255,617
MIMAT0004552,MIMAT0000710,164
MIMAT0004552,MIMAT0000728,238
MIMAT0004552,MIMAT0001631,104
MIMAT0004552,MIMAT0002177,582
MIMAT0004552,MIMAT0002874,529
MIMAT0004552,MIMAT0003322,456
MIMAT0004552,MIMAT0004926,389
MIMAT0004552,MIMAT0000441,197
MIMAT0000434,MIMAT0000433,12
MIMAT0000434,MIMAT0000436,16
MIMAT0000434,MIMAT0004600,20
MIMAT0000434,MIMAT0004766,222
MIMAT0000434,MIMAT0002809,102
MIMAT0000434,MIMAT0000451,199
MIMAT0000434,MIMAT0004518,56
MIMAT0000434,MIMAT0004558,109
MIMAT0000434,MIMAT0000256,73
MIMAT0000434,MIMAT0000257,124
MIMAT0000434,MIMAT0000072,170
MIMAT0000434,MIMAT0002819,193
MIMAT0000434,MIMAT0000461,113
MIMAT0000434,MIMAT0000232,130
MIMAT0000434,MIMAT0004563,130
MIMAT0000434,MIMAT0000265,211
MIMAT0000434,MIMAT0000076,52
MIMAT0000434,MIMAT0000278,176
MIMAT0000434,MIMAT0000279,219
MIMAT0000434,MIMAT0004569,180
MIMAT0000434,MIMAT0004501,276
MIMAT0000434,MIMAT0015378,153
MIMAT0000434,MIMAT0000753,80
MIMAT0000434,MIMAT0000255,264
MIMAT0000434,MIMAT0000710,64
MIMAT0000434,MIMAT0000728,78
MIMAT0000434,MIMAT0001631,34
MIMAT0000434,MIMAT0002177,195
MIMAT0000434,MIMAT0002874,186
MIMAT0000434,MIMAT0003322,179
MIMAT0000434,MIMAT0004926,136
MIMAT0000434,MIMAT0000441,100
MIMAT0000433,MIMAT0000436,2
MIMAT0000433,MIMAT0004600,5
MIMAT0000433,MIMAT0004766,28
MIMAT0000433,MIMAT0002809,14
MIMAT0000433,MIMAT0000451,23
MIMAT0000433,MIMAT0004518,7
MIMAT0000433,MIMAT0004558,13
MIMAT0000433,MIMAT0000256,11
MIMAT0000433,MIMAT0000257,17
MIMAT0000433,MIMAT0000072,17
MIMAT0000433,MIMAT0002819,21
MIMAT0000433,MIMAT0000461,20
MIMAT0000433,MIMAT0000232,16
MIMAT0000433,MIMAT0004563,16
MIMAT0000433,MIMAT0000265,27
MIMAT0000433,MIMAT0000076,2
MIMAT0000433,MIMAT0000278,23
MIMAT0000433,MIMAT0000279,30
MIMAT0000433,MIMAT0004569,30
MIMAT0000433,MIMAT0004501,34
MIMAT0000433,MIMAT0015378,24
MIMAT0000433,MIMAT0000753,11
MIMAT0000433,MIMAT0000255,32
MIMAT0000433,MIMAT0000710,12
