ID,Gene.symbol,Gene.title,log2(fold change),-log10(Pvalue)
209460_at,ABAT,4-aminobutyrate aminotransferase,3.218,9.537
204719_at,ABCA8,ATP binding cassette subfamily A member 8,-3.699,05.01
225436_at,ABHD17C,abhydrolase domain containing 17C,3.015,7.802
87100_at,ABHD2,abhydrolase domain containing 2,3.171,6.78
221928_at,ACACB,acetyl-CoA carboxylase beta,-4.153,13.54
43427_at,ACACB,acetyl-CoA carboxylase beta,-4.854,12.705
49452_at,ACACB,acetyl-CoA carboxylase beta,-5.272,12.737
210337_s_at,ACLY,ATP citrate lyase,3.998,14.637
220061_at,ACSM5,acyl-CoA synthetase medium-chain family member 5,-3.31,8.194
200729_s_at,ACTR2,ARP2 actin related protein 2 homolog,3.249,14.003
1552519_at,ACVR1C,activin A receptor type 1C,-4.637,9.974
1563182_at,ACVR1C,activin A receptor type 1C,-3.062,11.64
202952_s_at,ADAM12,ADAM metallopeptidase domain 12,3.897,8.881
226777_at,ADAM12,ADAM metallopeptidase domain 12,3.676,7.927
219935_at,ADAMTS5,ADAM metallopeptidase with thrombospondin type 1 motif 5,-3.71,10.54
229357_at,ADAMTS5,ADAM metallopeptidase with thrombospondin type 1 motif 5,-3.26,10.254
235368_at,ADAMTS5,ADAM metallopeptidase with thrombospondin type 1 motif 5,-3.039,10.809
1556364_at,ADAMTS9-AS2,ADAMTS9 antisense RNA 2,-3.138,8.037
209612_s_at,ADH1B,"alcohol dehydrogenase 1B (class I), beta polypeptide",-5.169,5.033
209613_s_at,ADH1B,"alcohol dehydrogenase 1B (class I), beta polypeptide",-5.222,5.314
209614_at,ADH1B,"alcohol dehydrogenase 1B (class I), beta polypeptide",-3.547,10.209
206262_at,ADH1C,"alcohol dehydrogenase 1C (class I), gamma polypeptide",-3.362,14.03
207175_at,ADIPOQ,"adiponectin, C1Q and collagen domain containing",-7.236,9.249
202912_at,ADM,adrenomedullin,-3.364,8.112
209173_at,AGR2,"anterior gradient 2, protein disulphide isomerase family member",3.371,7.82
228241_at,AGR3,"anterior gradient 3, protein disulphide isomerase family member",5.045,12.087
1555736_a_at,AGTRAP,angiotensin II receptor associated protein,3.648,14.675
220199_s_at,AIDA,"axin interactor, dorsalization associated",3.101,9.759
223075_s_at,AIF1L,allograft inflammatory factor 1 like,-4.735,11.77
222458_s_at,AKIRIN1,akirin 1,3.697,11.732
204151_x_at,AKR1C1,aldo-keto reductase family 1 member C1,-5.273,11.003
216594_x_at,AKR1C1,aldo-keto reductase family 1 member C1,-3.947,9.245
209160_at,AKR1C3,"aldo-keto reductase family 1, member C3",-3.387,6.883
217791_s_at,ALDH18A1,aldehyde dehydrogenase 18 family member A1,3.158,16.015
202022_at,ALDOC,"aldolase, fructose-bisphosphate C",-3.259,9.261
219015_s_at,ALG13,"ALG13, UDP-N-acetylglucosaminyltransferase subunit",3.383,15.685
204174_at,ALOX5AP,arachidonate 5-lipoxygenase activating protein,3.82,10.258
226319_s_at,ALYREF,Aly/REF export factor,4.334,13.372
208721_s_at,ANAPC5,anaphase promoting complex subunit 5,3.29,9.83
221009_s_at,ANGPTL4,angiopoietin like 4,-4.17,16.078
1570255_s_at,ANKRD20A12P///ANKRD20A8P///ANKRD20A4///ANKRD20A2///ANKRD20A3///ANKRD20A5P///ANKRD20A1,"ankyrin repeat domain 20 family member A12, pseudogene///ankyrin repeat domain 20 family member A8, pseudogene///ankyrin repeat domain 20 family member A4///ankyrin repeat domain 20 family member A2///ankyrin repeat domain 20 family member A3///ankyrin repeat domain 20 family member A5, pseudogene///ankyrin repeat domain 20 family member A1",-4.079,17.087
224012_at,ANKRD20A4///ANKRD20A2///ANKRD20A3///ANKRD20A1,ankyrin repeat domain 20 family member A4///ankyrin repeat domain 20 family member A2///ankyrin repeat domain 20 family member A3///ankyrin repeat domain 20 family member A1,-4.77,21.19
223864_at,ANKRD30A,ankyrin repeat domain 30A,4.598,4.759
231118_at,ANKRD35,ankyrin repeat domain 35,-3.105,11.982
229128_s_at,ANP32E,acidic nuclear phosphoprotein 32 family member E,4.766,12.155
210085_s_at,ANXA9,annexin A9,4.002,11.099
211712_s_at,ANXA9,annexin A9,3.736,9.332
204894_s_at,AOC3,"amine oxidase, copper containing 3",-3.897,11.342
200615_s_at,AP2B1,adaptor related protein complex 2 beta 1 subunit,3.134,9.728
222538_s_at,APPL1,"adaptor protein, phosphotyrosine interacting with PH domain and leucine zipper 1",3.361,12.624
218218_at,APPL2,"adaptor protein, phosphotyrosine interacting with PH domain and leucine zipper 2",3.102,9.299
211110_s_at,AR,androgen receptor,04.09,10.85
201096_s_at,ARF4,ADP ribosylation factor 4,3.515,14.919
202955_s_at,ARFGEF1,ADP ribosylation factor guanine nucleotide exchange factor 1,3.38,15.964
216266_s_at,ARFGEF1,ADP ribosylation factor guanine nucleotide exchange factor 1,4.271,14.194
222518_at,ARFGEF2,ADP ribosylation factor guanine nucleotide exchange factor 2,3.352,12.661
203431_s_at,ARHGAP32,Rho GTPase activating protein 32,3.342,10.129
1555812_a_at,ARHGDIB,Rho GDP dissociation inhibitor beta,3.928,9.981
201879_at,ARIH1,ariadne RBR E3 ubiquitin protein ligase 1,3.498,14.547
211672_s_at,ARPC4-TTLL3///ARPC4,ARPC4-TTLL3 readthrough///actin related protein 2/3 complex subunit 4,3.97,12.689
1555419_a_at,ASAH1,N-acylsphingosine amidohydrolase 1,4.046,10.347
