ID	Gene.symbol	Gene.title	log2(fold change)	-log(pvalue)
213256_at	Mar/03	membrane associated ring-CH-type finger 3	2.835	3.473
208657_s_at	Sep/09	septin 9	-1.006	3.558
240420_at	AADACL2	arylacetamide deacetylase like 2	4.095	4.195
43427_at	ACACB	acetyl-CoA carboxylase beta	1.848	3.503
49452_at	ACACB	acetyl-CoA carboxylase beta	2.007	3.527
225663_at	ACBD5	acyl-CoA binding domain containing 5	0.869	3.731
200793_s_at	ACO2	aconitase 2	-1.158	3.546
201629_s_at	ACP1	acid phosphatase 1, soluble	-1.165	4.379
215227_x_at	ACP1	acid phosphatase 1, soluble	-0.65	3.434
AFFX-HSAC07/X00351_5_at	ACTB	actin beta	-1.12	4.111
AFFX-HSAC07/X00351_M_at	ACTB	actin beta	-0.972	5.446
208637_x_at	ACTN1	actinin alpha 1	-2.238	3.719
211160_x_at	ACTN1	actinin alpha 1	-2.327	4.455
205327_s_at	ACVR2A	activin A receptor type 2A	1.181	4.288
213217_at	ADCY2	adenylate cyclase 2	1.222	3.797
204333_s_at	AGA	aspartylglucosaminidase	1.472	3.729
219953_s_at	AKIP1	A-kinase interacting protein 1	-1.81	4.837
203180_at	ALDH1A3	aldehyde dehydrogenase 1 family member A3	-3.295	3.421
226319_s_at	ALYREF	Aly/REF export factor	-1.079	3.848
226320_at	ALYREF	Aly/REF export factor	-0.806	3.844
212201_at	ANKLE2	ankyrin repeat and LEM domain containing 2	-1.247	3.454
1568126_at	ANXA2	annexin A2	-2.203	4.415
211779_x_at	AP2A2	adaptor related protein complex 2 alpha 2 subunit	-0.999	4.21
206592_s_at	AP3D1	adaptor related protein complex 3 delta 1 subunit	-0.796	4.024
211621_at	AR	androgen receptor	0.761	4.457
226192_at	AR	androgen receptor	2.919	4.745
226197_at	AR	androgen receptor	2.187	4.125
226057_at	ARHGAP31	Rho GTPase activating protein 31	0.688	4.388
227197_at	ARHGEF26	Rho guanine nucleotide exchange factor 26	2.662	4.141
203263_s_at	ARHGEF9	Cdc42 guanine nucleotide exchange factor 9	0.905	3.985
201658_at	ARL1	ADP ribosylation factor like GTPase 1	0.663	3.629
1563101_at	ARNTL2-AS1	ARNTL2 antisense RNA 1	-0.95	3.321
200950_at	ARPC1A	actin related protein 2/3 complex subunit 1A	-0.925	5.6
215684_s_at	ASCC2	activating signal cointegrator 1 complex subunit 2	-0.811	3.42
232908_at	ATAD2B	ATPase family, AAA domain containing 2B	1.257	4.363
226684_at	ATG2B	autophagy related 2B	1.126	4.052
218052_s_at	ATP13A1	ATPase 13A1	-0.72	3.519
205198_s_at	ATP7A	ATPase copper transporting alpha	1.507	3.414
209309_at	AZGP1	alpha-2-glycoprotein 1, zinc-binding	4.886	3.947
217014_s_at	AZGP1P1///AZGP1	alpha-2-glycoprotein 1, zinc-binding pseudogene 1///alpha-2-glycoprotein 1, zinc-binding	4.402	4.057
227372_s_at	BAIAP2L1	BAI1 associated protein 2 like 1	-1.35	3.728
213224_s_at	BBIP1	BBSome interacting protein 1	0.954	3.959
227273_at	BMPR1A	bone morphogenetic protein receptor type 1A	0.792	3.907
225334_at	BORCS7	BLOC-1 related complex subunit 7	1.193	5.751
220155_s_at	BRD9	bromodomain containing 9	-0.966	3.53
1556000_s_at	BTBD7	BTB domain containing 7	-0.864	3.352
232730_at	C19orf44	chromosome 19 open reading frame 44	-0.691	4.565
222277_at	C1QTNF9B-AS1	C1QTNF9B antisense RNA 1	1.369	3.67
226464_at	C3orf58	chromosome 3 open reading frame 58	1.246	3.425
1553133_at	C9orf72	chromosome 9 open reading frame 72	1.94	4.186
243244_at	CACNB4	calcium voltage-gated channel auxiliary subunit beta 4	2.166	3.806
202715_at	CAD	carbamoyl-phosphate synthetase 2, aspartate transcarbamylase, and dihydroorotase	-1.133	3.951
213798_s_at	CAP1	adenylate cyclase associated protein 1	-0.582	3.474
1557321_a_at	CAPN14	calpain 14	1.506	4.301
201950_x_at	CAPZB	capping actin protein of muscle Z-line beta subunit	-0.573	4.109
37012_at	CAPZB	capping actin protein of muscle Z-line beta subunit	-0.768	4.404
218384_at	CARHSP1	calcium regulated heat stable protein 1	-1.925	5.029
224910_at	CARHSP1	calcium regulated heat stable protein 1	-1.674	5.813
213626_at	CBR4	carbonyl reductase 4	0.825	3.363
210072_at	CCL19	C-C motif chemokine ligand 19	1.618	4.048
221156_x_at	CCPG1	cell cycle progression 1	0.893	3.514
1553697_at	CCSAP	centriole, cilia and spindle associated protein	1.702	4.004
208696_at	CCT5	chaperonin containing TCP1 subunit 5	-0.691	4.027
206488_s_at	CD36	CD36 molecule	4.416	3.641
209554_at	CD36	CD36 molecule	1.75	3.422
209555_s_at	CD36	CD36 molecule	4.328	3.398
228766_at	CD36	CD36 molecule	4.672	4.153
242197_x_at	CD36	CD36 molecule	2.197	3.627
217879_at	CDC27	cell division cycle 27	-1.042	3.357
217849_s_at	CDC42BPB	CDC42 binding protein kinase beta	-1.441	3.909
234932_s_at	CDCP1	CUB domain containing protein 1	-1.578	5.003
203256_at	CDH3	cadherin 3	-1.485	3.621
207239_s_at	CDK16	cyclin dependent kinase 16	-1.256	3.994
208824_x_at	CDK16	cyclin dependent kinase 16	-1.22	4.912
212675_s_at	CEP68	centrosomal protein 68	1.157	4.791
217720_at	CHCHD2	coiled-coil-helix-coiled-coil-helix domain containing 2	-0.761	3.783
209927_s_at	CHTOP	chromatin target of PRMT1	-0.598	3.5
212752_at	CLASP1	cytoplasmic linker associated protein 1	-0.806	3.483
208659_at	CLIC1	chloride intracellular channel 1	-0.742	4.037
238438_at	CNOT6L	CCR4-NOT transcription complex subunit 6 like	0.895	4.278
220647_s_at	COA4	cytochrome c oxidase assembly factor 4 homolog	-0.711	3.489
214336_s_at	COPA	coatomer protein complex subunit alpha	-1.152	4.269
222386_s_at	COPZ1	coatomer protein complex subunit zeta 1	-0.666	3.67
201989_s_at	CREBL2	cAMP responsive element binding protein like 2	1.663	4.535
201990_s_at	CREBL2	cAMP responsive element binding protein like 2	1.764	3.95
206777_s_at	CRYBB2P1///CRYBB2	crystallin beta B2 pseudogene 1///crystallin beta B2	-1.443	3.574
221021_s_at	CTNNBL1	catenin beta like 1	-0.744	4.688
200838_at	CTSB	cathepsin B	-1.241	3.668
200839_s_at	CTSB	cathepsin B	-0.916	4.043
213274_s_at	CTSB	cathepsin B	-1.287	3.742
1563445_x_at	CTSLP8	cathepsin L pseudogene 8	-0.987	3.864
204470_at	CXCL1	C-X-C motif chemokine ligand 1	-4.116	3.328
229800_at	DCLK1	doublecortin like kinase 1	2.096	3.706
205337_at	DCT	dopachrome tautomerase	3.181	3.459
201584_s_at	DDX39A	DEAD-box helicase 39A	-1.518	4.495
217754_at	DDX56	DEAD-box helicase 56	-0.821	4.29
209250_at	DEGS1	delta 4-desaturase, sphingolipid 1	1.007	3.498
234347_s_at	DENR	density regulated re-initiation and release factor	-0.781	4.345
205545_x_at	DNAJC8	DnaJ heat shock protein family (Hsp40) member C8	-0.827	6.268
212491_s_at	DNAJC8	DnaJ heat shock protein family (Hsp40) member C8	-1.208	5.09
226916_x_at	DPP9	dipeptidyl peptidase 9	-0.829	3.539
207654_x_at	DR1	down-regulator of transcription 1	-0.87	3.418
209188_x_at	DR1	down-regulator of transcription 1	-0.995	3.592
216652_s_at	DR1	down-regulator of transcription 1	-1.112	3.842
217309_s_at	DSCR3	DSCR3 arrestin fold containing	-0.865	3.571
1553984_s_at	DTYMK	deoxythymidylate kinase	-0.956	4.487
211928_at	DYNC1H1	dynein cytoplasmic 1 heavy chain 1	-0.607	3.893
204271_s_at	EDNRB	endothelin receptor type B	2.912	6.19
204273_at	EDNRB	endothelin receptor type B	1.619	4.981
206701_x_at	EDNRB	endothelin receptor type B	2.869	5.922
201983_s_at	EGFR	epidermal growth factor receptor	-0.93	3.346
206115_at	EGR3	early growth response 3	2.694	3.527
205341_at	EHD2	EH domain containing 2	-1.451	3.688
45297_at	EHD2	EH domain containing 2	-1.391	3.342
208756_at	EIF3I	eukaryotic translation initiation factor 3 subunit I	-0.846	4.092
221539_at	EIF4EBP1	eukaryotic translation initiation factor 4E binding protein 1	-2.164	4.912
201231_s_at	ENO1	enolase 1	-1.212	5.055
216554_s_at	ENO1	enolase 1	-1.605	5.622
217294_s_at	ENO1	enolase 1	-1.275	5.155
218498_s_at	ERO1A	endoplasmic reticulum oxidoreductase 1 alpha	-1.196	3.523
222646_s_at	ERO1A	endoplasmic reticulum oxidoreductase 1 alpha	-1.388	3.457
225750_at	ERO1A	endoplasmic reticulum oxidoreductase 1 alpha	-2.202	5.341
