ID;Gene.symbol;Gene.title;log2(fold change);-LOG10(plavue)
206068_s_at;ACADL;acyl-CoA dehydrogenase, long chain;-2.943;4.842
206069_s_at;ACADL;acyl-CoA dehydrogenase, long chain;-2.561;4.544
226777_at;ADAM12;ADAM metallopeptidase domain 12;2.836;4.535
209614_at;ADH1B;alcohol dehydrogenase 1B (class I), beta polypeptide;-2.783;4.565
207175_at;ADIPOQ;adiponectin, C1Q and collagen domain containing;-4.225;5.088
206170_at;ADRB2;adrenoceptor beta 2;-2.051;5.672
1554980_a_at;ATF3;activating transcription factor 3;-1.457;4.903
229964_at;C9orf152;chromosome 9 open reading frame 152;-1.875;5.377
225915_at;CAB39L;calcium binding protein 39 like;-1.753;6.367
219398_at;CIDEC;cell death inducing DFFA like effector c;-2.296;5.867
203953_s_at;CLDN3;claudin 3;-3.018;6.52
1555497_a_at;CYP4B1;cytochrome P450 family 4 subfamily B member 1;-1.803;5.134
1553946_at;DCD;dermcidin;-7.044;5.233
204997_at;GPD1;glycerol-3-phosphate dehydrogenase 1;-3.386;6.664
213706_at;GPD1;glycerol-3-phosphate dehydrogenase 1;-3.735;5.427
204607_at;HMGCS2;3-hydroxy-3-methylglutaryl-CoA synthase 2;-2.911;4.396
204785_x_at;IFNAR2;interferon alpha and beta receptor subunit 2;1.338;4.926
204698_at;ISG20;interferon stimulated exonuclease gene 20;4.682;5.17
235708_at;KLB;klotho beta;-2.443;4.902
238482_at;KLF7;Kruppel like factor 7;0.932;4.718
208186_s_at;LIPE;lipase E, hormone sensitive type;-2.257;4.876
209779_at;LLPH;LLP homolog, long-term synaptic facilitation;1.532;4.577
222278_at;LOC101929726;uncharacterized LOC101929726;-1.979;4.642
213975_s_at;LYZ;lysozyme;2.892;4.49
228863_at;PCDH17;protocadherin 17;2.022;4.532
206509_at;PIP;prolactin induced protein;-4.643;4.593
205913_at;PLIN1;perilipin 1;-4.438;7.03
228409_at;PLIN4;perilipin 4;-4.389;8.592
219140_s_at;RBP4;retinol binding protein 4;-4.042;4.885
205158_at;RNASE4;ribonuclease A family member 4;-1.939;5.166
220918_at;RUNX1-IT1;RUNX1 intronic transcript 1;2.094;4.486
206799_at;SCGB1D2;secretoglobin family 1D member 2;-5.378;5.271
237106_at;SLC11A2;solute carrier family 11 member 2;1.822;4.499
232802_at;SYT8;synaptotagmin 8;-1.639;4.513
209419_at;THOC5;THO complex 5;2.511;4.615
213869_x_at;THY1;Thy-1 cell surface antigen;2.021;4.523
230021_at;TICRR;TOPBP1 interacting checkpoint and replication regulator;2.618;4.723
240183_at;TMEM213;transmembrane protein 213;-2.865;4.773
201645_at;TNC;tenascin C;2.956;5.813
220065_at;TNMD;tenomodulin;-2.936;4.709
203234_at;UPP1;uridine phosphorylase 1;3.041;4.464
229802_at;WISP1;WNT1 inducible signaling pathway protein 1;2.352;4.762
205883_at;ZBTB16;zinc finger and BTB domain containing 16;-2.547;6.913
