#node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
ACADL	PLIN1	9606.ENSP00000233710	9606.ENSP00000300055	0	0	0	0	0.079	0.053	0	0.368	0.401
ACADL	LIPE	9606.ENSP00000233710	9606.ENSP00000244289	0.045	0	0	0	0.106	0	0	0.506	0.542
ACADL	HMGCS2	9606.ENSP00000233710	9606.ENSP00000358414	0	0	0	0	0.078	0	0	0.630	0.645
ADAM12	CCN4	9606.ENSP00000357668	9606.ENSP00000250160	0	0	0	0	0.285	0	0	0.290	0.470
ADH1B	KLB	9606.ENSP00000306606	9606.ENSP00000257408	0	0	0	0	0.109	0	0	0.437	0.477
ADH1B	GPD1	9606.ENSP00000306606	9606.ENSP00000301149	0	0	0	0	0.269	0	0	0.246	0.426
ADIPOQ	LIPE	9606.ENSP00000389814	9606.ENSP00000244289	0	0	0	0	0.246	0	0	0.822	0.860
ADIPOQ	KLB	9606.ENSP00000389814	9606.ENSP00000257408	0	0	0	0	0.107	0	0	0.572	0.601
ADIPOQ	PLIN1	9606.ENSP00000389814	9606.ENSP00000300055	0	0	0	0	0.784	0	0	0.767	0.947
ADIPOQ	RBP4	9606.ENSP00000389814	9606.ENSP00000360522	0	0	0	0	0.159	0	0	0.771	0.799
ADIPOQ	CIDEC	9606.ENSP00000389814	9606.ENSP00000373328	0	0	0	0	0.488	0	0	0.518	0.743
ADIPOQ	PLIN4	9606.ENSP00000389814	9606.ENSP00000488481	0	0	0	0	0.272	0	0	0.593	0.691
CIDEC	LIPE	9606.ENSP00000373328	9606.ENSP00000244289	0	0	0	0	0.267	0	0	0.754	0.812
CIDEC	PLIN1	9606.ENSP00000373328	9606.ENSP00000300055	0	0	0	0	0.766	0	0	0.959	0.990
CIDEC	GPD1	9606.ENSP00000373328	9606.ENSP00000301149	0	0	0	0	0.340	0	0	0.305	0.521
CIDEC	PLIN4	9606.ENSP00000373328	9606.ENSP00000488481	0	0	0	0	0.375	0	0	0.660	0.778
DCD	LYZ	9606.ENSP00000406773	9606.ENSP00000261267	0	0	0	0	0	0	0	0.537	0.537
DCD	PIP	9606.ENSP00000406773	9606.ENSP00000291009	0	0	0	0	0.251	0	0	0.448	0.568
GPD1	LIPE	9606.ENSP00000301149	9606.ENSP00000244289	0.052	0	0	0	0.255	0	0	0.236	0.413
GPD1	PLIN1	9606.ENSP00000301149	9606.ENSP00000300055	0	0	0	0	0.423	0.050	0	0.303	0.584
GPD1	PLIN4	9606.ENSP00000301149	9606.ENSP00000488481	0	0	0	0	0.224	0.050	0	0.287	0.428
IFNAR2	ISG20	9606.ENSP00000343957	9606.ENSP00000306565	0	0	0	0	0.104	0.071	0	0.370	0.429
LIPE	PLIN4	9606.ENSP00000244289	9606.ENSP00000488481	0	0	0	0	0.220	0.071	0	0.626	0.705
LIPE	PLIN1	9606.ENSP00000244289	9606.ENSP00000300055	0	0	0	0	0.310	0.586	0.500	0.995	0.999
LYZ	PIP	9606.ENSP00000261267	9606.ENSP00000291009	0	0	0	0	0.055	0.229	0	0.604	0.686
PIP	SCGB1D2	9606.ENSP00000291009	9606.ENSP00000244926	0	0	0	0	0.304	0	0	0.270	0.470
PLIN1	TNMD	9606.ENSP00000300055	9606.ENSP00000362122	0	0	0	0	0.386	0	0	0.243	0.515
PLIN1	PLIN4	9606.ENSP00000300055	9606.ENSP00000488481	0	0	0	0	0.445	0	0	0.967	0.980
THY1	TNMD	9606.ENSP00000284240	9606.ENSP00000362122	0	0	0	0	0.062	0	0	0.404	0.417
THY1	ZBTB16	9606.ENSP00000284240	9606.ENSP00000338157	0	0	0	0	0.045	0	0	0.604	0.605
