#node1,node2,node1_string_id,node2_string_id,combined_score
ACER1,CERS4,9606.ENSP00000301452,9606.ENSP00000251363,0.9
ACER1,CERS3,9606.ENSP00000301452,9606.ENSP00000284382,0.9
AGR2,LYPD3,9606.ENSP00000391490,9606.ENSP00000244333,0.42
AGR2,DCD,9606.ENSP00000391490,9606.ENSP00000406773,0.42
ALDH3A1,CASP14,9606.ENSP00000411821,9606.ENSP00000393417,0.441
ALDH3A1,ALDH3B2,9606.ENSP00000411821,9606.ENSP00000501254,0.9
ALOX12,ITGB4,9606.ENSP00000251535,9606.ENSP00000200181,0.457
AP1M2,EPN3,9606.ENSP00000465685,9606.ENSP00000268933,0.54
AP1M2,HLA-DQB2,9606.ENSP00000465685,9606.ENSP00000396330,0.499
AQP3,AQP5,9606.ENSP00000297991,9606.ENSP00000293599,0.499
AZGP1,PIP,9606.ENSP00000292401,9606.ENSP00000291009,0.979
CBLC,FGFR3,9606.ENSP00000494162,9606.ENSP00000339824,0.65
CBLC,FGFR2,9606.ENSP00000494162,9606.ENSP00000410294,0.65
CDS1,MUC15,9606.ENSP00000295887,9606.ENSP00000431983,0.448
CDSN,TGM1,9606.ENSP00000365465,9606.ENSP00000206765,0.499
CDSN,CSTA,9606.ENSP00000365465,9606.ENSP00000264474,0.499
CDSN,SPRR1B,9606.ENSP00000365465,9606.ENSP00000306461,0.499
CDSN,PPL,9606.ENSP00000365465,9606.ENSP00000340510,0.499
CDSN,LCE1B,9606.ENSP00000365465,9606.ENSP00000353203,0.499
CDSN,LOR,9606.ENSP00000365465,9606.ENSP00000357731,0.499
CDSN,SPRR2G,9606.ENSP00000365465,9606.ENSP00000357737,0.499
CDSN,SPRR1A,9606.ENSP00000365465,9606.ENSP00000357751,0.499
CDSN,IVL,9606.ENSP00000365465,9606.ENSP00000357753,0.499
CDSN,LCE2B,9606.ENSP00000365465,9606.ENSP00000357769,0.499
CDSN,EVPL,9606.ENSP00000365465,9606.ENSP00000465630,0.499
CERS3,CERS4,9606.ENSP00000284382,9606.ENSP00000251363,0.9
CFTR,PDZK1,9606.ENSP00000003084,9606.ENSP00000342143,0.457
CLCA2,CLCA4,9606.ENSP00000359596,9606.ENSP00000359594,0.9
CLDN1,CLDN8,9606.ENSP00000295522,9606.ENSP00000382783,0.65
COL17A1,ITGB4,9606.ENSP00000497653,9606.ENSP00000200181,0.716
COL17A1,LAMC2,9606.ENSP00000497653,9606.ENSP00000264144,0.499
CSTA,TGM1,9606.ENSP00000264474,9606.ENSP00000206765,0.499
CSTA,DSP,9606.ENSP00000264474,9606.ENSP00000369129,0.436
CSTA,EVPL,9606.ENSP00000264474,9606.ENSP00000465630,0.499
CSTA,SPRR1B,9606.ENSP00000264474,9606.ENSP00000306461,0.499
CSTA,PPL,9606.ENSP00000264474,9606.ENSP00000340510,0.499
