Entrez ID,Gene Symbol,LogFC,p-value,oncogeneScore
3664,IRF6,-3.9571,1.6391e-08,0.0757795
646,BNC1,-3.99004,1.65841e-07,0.0328542
23242,COBL,-2.49754,1.61254e-07,0.00147832
245973,ATP6V1C2,-2.7606,1.39282e-05,
145264,SERPINA12,-4.50612,2.29097e-07,0.00665244
118663,BTBD16,-2.6069,6.63773e-05,
29841,GRHL1,-2.54426,2.96352e-06,0.0685365
135250,RAET1E,-2.5794,7.38065e-08,0.00147832
150696,PROM2,-4.40581,1.90264e-09,0.0815727
89777,SERPINB12,-2.53353,0.000171899,
116255,MOGAT1,-2.57504,0.00053077,0.0126146
149428,BNIPL,-4.1553,1.06224e-08,
121214,SDR9C7,-3.2882,5.03424e-06,
196374,KRT78,-3.35291,0.000179901,0.0018479
126868,MAB21L3,-3.21536,0.000102272,0.00552317
7069,THRSP,-3.84579,0.000332984,0.0036958
10158,PDZK1IP1,-3.77311,9.0722e-08,0.00147832
118430,MUCL1,-4.61337,6.38317e-07,0.0120113
125981,ACER1,-4.99734,5.43955e-08,0.00459922
117159,DCD,-7.39873,4.21788e-08,0.0293735
7499,XG,-2.60731,4.87528e-06,
66004,LYNX1,-3.35761,1.0528e-05,
389336,C5orf46,-3.94189,6.46153e-06,
149466,C1orf210,-3.65432,3.04691e-11,
204219,CERS3,-3.27399,1.6e-06,0.0018479
9721,GPRIN2,-2.4031,1.58673e-08,0.0018479
90527,DUOXA1,-3.12902,1.36221e-09,0
81786,TRIM7,-2.62418,6.99512e-07,0.0253162
83850,ESYT3,-3.21719,7.1949e-05,
415117,STX19,-2.38149,9.80585e-06,
247,ALOX15B,-4.43599,0.000172331,
1525,CXADR,-2.41467,6.94424e-07,0.0501565
254240,BPIFC,-3.54199,5.55991e-05,
406988,MIR205,-3.58746,4.13385e-10,0.00349048
128876,FAM83C,-4.49458,2.33871e-07,
100996760,LOC100996760,-3.35777,2.56349e-06,
283404,LINC00592,-2.48452,0.000458173,
202915,TMEM184A,-3.16786,0.000560365,
8456,FOXN1,-4.58446,5.73554e-09,0.00441443
158833,AWAT1,-4.89082,0.000340242,
353132,LCE1B,-4.40042,2.47576e-06,
101927164,LOC101927164,-2.97089,2.58064e-07,
222584,FAM83B,-2.5527,5.31234e-05,
768239,PSAPL1,-3.39124,8.14091e-06,
338667,LOC338667,-3.03712,3.24463e-06,
4257,MGST1,-3.10827,3.89123e-05,0.0913022
57662,CAMSAP3,-2.59819,2.51388e-08,
375791,CYSRT1,-2.76876,1.46626e-07,
388698,FLG2,-4.48625,1.20416e-06,0.00886992
338785,KRT79,-4.32252,0.000297241,
1832,DSP,-3.006,4.65139e-07,0.050077
5792,PTPRF,-2.43502,1.53751e-08,0.0301745
4134,MAP4,-2.63447,0.000123908,0.02199
3728,JUP,-4.14198,1.00619e-09,0.0379203
6382,SDC1,-3.40132,1.19245e-08,0.0695567
3880,KRT19,-4.83745,1.57151e-05,0.010686
3852,KRT5,-4.11396,2.09764e-08,0.490107
9415,FADS2,-4.24262,0.000218296,0.0522588
3918,LAMC2,-2.55397,5.48539e-08,0.0511814
23650,TRIM29,-4.95942,2.53616e-10,0.030613
5652,PRSS8,-3.78605,4.74305e-10,
6692,SPINT1,-2.52584,9.17608e-08,0.0105689
2877,GPX2,-2.65275,0.000137116,0.0073378
6590,SLPI,-3.50766,2.79371e-05,0.0106542
4597,MVD,-2.36484,1.74858e-05,0
56998,CTNNBIP1,-2.4928,3.58699e-09,0.0227095
3613,IMPA2,-2.8128,5.25581e-09,0.114086
8857,FCGBP,-3.07261,0.000352686,0.00406538
3898,LAD1,-3.45812,6.47147e-09,
5493,PPL,-3.76233,1.39319e-07,0.0101732
6337,SCNN1A,-4.24226,5.65941e-09,0.0155018
10974,ADIRF,-3.90509,0.000397711,0.00387597
2263,FGFR2,-4.90089,1.40304e-07,0.586358
360,AQP3,-3.7941,1.34295e-08,0.0377051
10205,MPZL2,-2.871,9.89927e-05,
10529,NEBL,-3.462,8.32057e-08,
771,CA12,-2.59289,8.50012e-06,0.088014
