#node1	node2	node1_string_id	node2_string_id	homology	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
ACER1	CERS4	9606.ENSP00000301452	9606.ENSP00000251363	0	0	0.900	0	0.900
ACER1	CERS3	9606.ENSP00000301452	9606.ENSP00000284382	0	0	0.900	0	0.900
AGR2	LYPD3	9606.ENSP00000391490	9606.ENSP00000244333	0	0.421	0	0	0.420
AGR2	DCD	9606.ENSP00000391490	9606.ENSP00000406773	0	0.420	0	0	0.420
ALDH3A1	CASP14	9606.ENSP00000411821	9606.ENSP00000393417	0	0.441	0	0	0.441
ALDH3A1	ALDH3B2	9606.ENSP00000411821	9606.ENSP00000501254	0	0	0.900	0	0.900
ALOX12	ITGB4	9606.ENSP00000251535	9606.ENSP00000200181	0	0.457	0	0	0.457
AP1M2	EPN3	9606.ENSP00000465685	9606.ENSP00000268933	0	0	0.540	0	0.540
AP1M2	HLA-DQB2	9606.ENSP00000465685	9606.ENSP00000396330	0	0	0.500	0	0.499
AQP3	AQP5	9606.ENSP00000297991	9606.ENSP00000293599	0	0	0.500	0	0.499
AZGP1	PIP	9606.ENSP00000292401	9606.ENSP00000291009	0	0.800	0.900	0	0.979
CBLC	FGFR3	9606.ENSP00000494162	9606.ENSP00000339824	0	0	0.650	0	0.650
CBLC	FGFR2	9606.ENSP00000494162	9606.ENSP00000410294	0	0	0.650	0	0.650
CDS1	MUC15	9606.ENSP00000295887	9606.ENSP00000431983	0	0.448	0	0	0.448
CDSN	TGM1	9606.ENSP00000365465	9606.ENSP00000206765	0	0	0.500	0	0.499
CDSN	CSTA	9606.ENSP00000365465	9606.ENSP00000264474	0	0	0.500	0	0.499
CDSN	SPRR1B	9606.ENSP00000365465	9606.ENSP00000306461	0	0	0.500	0	0.499
CDSN	PPL	9606.ENSP00000365465	9606.ENSP00000340510	0	0	0.500	0	0.499
CDSN	LCE1B	9606.ENSP00000365465	9606.ENSP00000353203	0	0	0.500	0	0.499
CDSN	LOR	9606.ENSP00000365465	9606.ENSP00000357731	0	0	0.500	0	0.499
CDSN	SPRR2G	9606.ENSP00000365465	9606.ENSP00000357737	0	0	0.500	0	0.499
