symbol	globalScore	clinicalPrecedence	gwasCredibleSets	geneBurden	eva	genomicsEngland	gene2Phenotype	uniprotLiterature	uniprotVariants	orphanet	clingen	cancerGeneCensus	intogen	evaSomatic	cancerBiomarkers	crisprScreen	crispr	reactome	europepmc	expressionAtlas	impc	maxClinicalStage	isInMembrane	isSecreted	hasLigand	hasSmallMoleculeBinder	hasPocket	mouseOrthologMaxIdentityPercentage	hasHighQualityChemicalProbes	geneticConstraint	mouseKoScore	geneEssentiality	hasSafetyEvent	isCancerDriverGene	paralogMaxIdentityPercentage	tissueSpecificity	tissueDistribution
CDKN2A	0.8841622208461392	No data	0.6455235834621053	0.9622311193416772	0.9474754980965666	0.9513974960387728	0.607930797611621	0.607930797611621	No data	No data	No data	0.9358001594615382	0.9039080226037223	No data	0.7599134970145264	No data	No data	No data	0.9778022730601327	No data	0.6883906982930634	No data	0	0	0	0	0	0	No data	-0.29994484280198563	-0.7143642596072841	0	No data	255	-0.21474249999999984	0.5	0
BRAF	0.8727513483379814	0.9809286819481328	No data	No data	0.6991204172533643	No data	No data	No data	No data	No data	No data	0.9466823962774248	0.9231031635563687	0.18237923928348632	0.979400228199195	No data	0.43437525605146465	No data	0.9970534750019959	No data	No data	1	1	0	1	1	1	0.6083550000000002	1	-0.932377275234418	-0.9693088027055469	0	255	255	0	-1	-1
BAP1	0.8342440294100663	No data	No data	No data	0.8713172810418403	0.9190679877429972	No data	0.607930797611621	No data	0.607930797611621	No data	0.9294305195209118	0.6885442089719471	0.5592963338026914	0.7599134970145264	No data	No data	No data	0.8961782791105658	No data	0.4878316874811547	No data	0	0	0	1	0	0.6639249999999997	0	-0.868284611141754	-0.8715403053441162	0	No data	255	0	-1	-1
MAP2K1	0.8297773554806516	0.9764306915016988	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.9141053352198825	0.7599134970145264	No data	0.9285669064556789	No data	No data	No data	0.9108088811749471	No data	No data	1	1	0	1	1	1	0.9491100000000003	1	-0.6715940430226144	-0.8883993409041493	0	No data	255	-0.5483450000000001	-1	-1
PTEN	0.8257946933588763	No data	No data	No data	0	0.9421515329208274	No data	No data	No data	No data	No data	0.8686390649111633	0.8861707141203009	0.7447152270742359	0.9066612367713315	No data	No data	No data	0.9730480830415081	No data	0.39320963989519647	No data	0	0	0	1	0	No data	No data	-0.4570325427468285	-0.9671522974652663	0	255	255	0	-1	-1
NRAS	0.8095948627207348	No data	No data	No data	0	No data	No data	No data	No data	No data	No data	0.9609846902729811	0.9110020960456463	No data	0.9190679877429972	No data	0.5094460269511141	No data	0.9884443896446442	No data	No data	0.2	1	0	1	1	0	0.973545	No data	-0.6311086596800882	-0.7530934129394029	0	No data	255	-0.6296299999999999	-1	-1
MAP2K2	0.7966447979193898	0.9764306915016988	No data	No data	0	No data	No data	No data	No data	No data	No data	0.9218300045217718	No data	No data	0.865457038266544	No data	No data	No data	0.5896092075217819	No data	No data	1	0	0	1	1	1	0.7125	1	-0.1901820187534473	0	0	No data	255	-0.5125	-1	-1
MITF	0.7841583864925847	No data	0.8619776386175184	0.1899783742536316	0.9347571124880087	No data	0.006079307976116211	No data	No data	No data	No data	0.6904796800151077	No data	No data	0.607930797611621	No data	0.3522257499275503	No data	0.9928904671085661	0.034887274143463355	0.41110670040271763	No data	0	0	0	1	0	0.724335	No data	-0.7072255929398786	-0.900863007354471	0	No data	No data	0	-1	-1
NF1	0.7839303814038173	No data	No data	No data	0	No data	No data	No data	No data	No data	No data	0.945875139757437	0.8460743069369184	No data	0.9471757543886921	No data	No data	No data	0.9482524391585452	No data	No data	No data	1	0	0	0	1	0.9225099999999997	No data	-0.7403199117484831	-0.9769015319440377	0	No data	255	0	-1	-1
KIT	0.7784261905015838	0.577479544888467	No data	No data	0	No data	No data	No data	No data	No data	No data	0.9409823235878817	0.4183493521430163	No data	0.9471757543886921	No data	No data	No data	0.9649264236092095	No data	No data	1	1	0	1	1	1	0.13934500000000014	0	-0.9308328736900165	-0.9830854663871282	0	255	255	0	0.5	0
