Espécie 1,Espécie 2,Impacto,Observação,
Lobos,Cervos,-1,,2 questões:
Cervos,Árvores,-1,,"é fácil representar o impacto de uma espécie sobre a outra em relação ao seu volume populacional (no caso é o que chamamos de expressão neste exercício), mas é dificil representar desta forma o impacto da presença das espécies, por exemplo dos lobos, no comportamento de outras espécies"
Árvores,Pássaros,1,,"Deveriamos fazer um ""range"" no impacto, indo de -3 a 3, por exemplo, pois existem espécies que causam mais impacto do que outras dentro de um mesmo contexto"
Árvores,Castores,1,,
Castores,Lontras,1,,
Castores,Ratos-almiscarados,1,,
Castores,Patos,1,,
Castores,Peixes,1,,
Castores,Répteis,1,,
Castores,Anfíbios,1,,
Lobos,Coiotes,-1,,
Coiotes,Coelhos,-1,,
Coiotes,Camundongos,-1,,
Coelhos,Aves de Rapina,1,,
Camundongos,Aves de Rapina,1,,
Coelhos,Doninhas,1,,
Camundongos,Doninhas,1,,
Coelhos,Raposas,1,,
Camundongos,Raposas,1,,
Coelhos,Texugos,1,,
Camundongos,Texugos,1,,
Esquilos,Aves de Rapina,1,,
Peixes,Aves de Rapina,1,,
Anfíbios,Aves de Rapina,1,,
Arbustos,Ursos,1,,
Ursos,Cervos,-1,,
Árvores,Rios,1,"Mata ciliar -> menos erosão, margens fixas e estreitas, mais lagos, mais correntezas",
Gramíneas,Rios,1,,
Arbustos,Rios,1,,
Árvores,Esquilos,1,,
Castores,Rios,1,,
Alces,Árvores,-1,,
Alces,Arbustos,-1,,
Alces,Gramíneas,-1,,
Cervos,Arbustos,-1,,
Cervos,Gramíneas,-1,,
Gramíneas,Insetos,1,,
Arbustos,Insetos,1,,
Árvores,Insetos,1,,
Insetos,Arbustos,1,,
Insetos,Árvores,1,,
Insetos,Gramíneas,1,,
Lobos,Alces,-1,,
Ursos,Alces,-1,,
Arbustos,Morcegos,1,,
Peixes,Lontras,1,,
Lontras,Peixes,-1,,
Anfíbios,Texugos,1,,
Texugos,Anfíbios,-1,,
Texugos,Camundongos,-1,,
Texugos,Coelhos,-1,,
Répteis,Coelhos,-1,,
Aves de Rapina,Répteis,-1,,
Aves de Rapina,Coelhos,-1,,
Corujas,Répteis,-1,,
Corujas,Anfíbios,-1,,
Corujas,Camundongos,-1,,
Corujas,Esquilos,-1,,
Répteis,Corujas,1,,
Anfíbios,Corujas,1,,
Camundongos,Corujas,1,,
Esquilos,Corujas,1,,
Aves de Rapina,Camundongos,-1,,
Aves de Rapina,Anfíbios,-1,,
Aves de Rapina,Peixes,-1,,
Raposas,Coelhos,-1,,
Raposas,Camundongos,-1,,
Ursos,Coiotes,-1,,
Coelhos,Coiotes,1,,
Lobos,Coelhos,-1,,
Coelhos,Lobos,1,,
Lobos,Corvos,1,,
Doninhas,Patos,-1,,
Doninhas,Pássaros,-1,,
Patos,Doninhas,1,,
Pássaros,Doninhas,1,,
Camundongos,Doninhas,1,,
Coelhos,Doninhas,1,,
Lobos,Doninhas,-1,,
Doninhas,Lobos,1,,
Coiotes,Doninhas,-1,,
Doninhas,Coiotes,1,,
Árvores,Corujas,1,,
